Price,Close,High,Low,Open,Volume
2010-10-22,8.456500053405760,8.508500099182130,8.113499641418460,8.1225004196167,326368000
2010-10-25,8.449999809265140,8.599499702453610,8.416000366210940,8.578499794006350,130618000
2010-10-26,8.4975004196167,8.550000190734860,8.375,8.378499984741210,93792000
2010-10-27,8.375499725341800,8.487500190734860,8.32699966430664,8.445500373840330,114436000
2010-10-28,8.342000007629400,8.424500465393070,8.2524995803833,8.415499687194820,93688000
2010-10-29,8.261500358581540,8.425000190734860,8.240500450134280,8.289999961853030,99970000
2010-11-01,8.128999710083010,8.229000091552730,8.076000213623050,8.22249984741211,104798000
2010-11-02,8.230500221252440,8.29699993133545,8.168000221252440,8.1875,85200000
2010-11-03,8.423500061035160,8.430500030517580,8.114500045776370,8.270000457763670,122242000
2010-11-04,8.446499824523930,8.626500129699710,8.420000076293950,8.493000030517580,147918000
2010-11-05,8.53849983215332,8.582500457763670,8.429499626159670,8.467499732971190,104244000
2010-11-08,8.599499702453610,8.65999984741211,8.439000129699710,8.541999816894530,114120000
2010-11-09,8.513500213623050,8.656999588012700,8.45300006866455,8.633500099182130,79572000
2010-11-10,8.666500091552730,8.668499946594240,8.470499992370610,8.529500007629400,108806000
2010-11-11,8.518500328063970,8.602499961853030,8.470999717712400,8.550000190734860,113834000
2010-11-12,8.284000396728520,8.562999725341800,8.2524995803833,8.505999565124510,143212000
2010-11-15,7.945000171661380,8.267499923706060,7.927999973297120,8.258000373840330,192972000
2010-11-16,7.888999938964840,8.045499801635740,7.838500022888180,7.936999797821050,131428000
2010-11-17,7.917500019073490,8.042499542236330,7.877500057220460,7.892000198364260,90498000
2010-11-18,8.208499908447270,8.25,8.036999702453610,8.036999702453610,124506000
2010-11-19,8.241000175476070,8.249500274658200,8.142000198364260,8.197500228881840,89296000
2010-11-22,8.519499778747560,8.529999732971190,8.25,8.255000114440920,122850000
2010-11-23,8.40999984741211,8.440500259399410,8.230999946594240,8.430500030517580,129306000
2010-11-24,8.862500190734860,8.894499778747560,8.576499938964840,8.576499938964840,200850000
2010-11-26,8.859999656677250,8.918999671936040,8.807999610900880,8.868000030517580,85432000
2010-11-29,8.974499702453610,9.092000007629400,8.878499984741210,8.999500274658200,193900000
2010-11-30,8.770000457763670,8.885000228881840,8.744999885559080,8.84749984741211,135244000
2010-12-01,8.827500343322750,8.965999603271480,8.800000190734860,8.958000183105470,115402000
2010-12-02,8.826499938964840,8.8725004196167,8.696000099182130,8.843000411987310,110752000
2010-12-03,8.784000396728520,8.819999694824220,8.702500343322750,8.774999618530270,98150000
2010-12-06,8.90250015258789,8.921500205993650,8.729999542236330,8.776000022888180,113084000
2010-12-07,8.838500022888180,9.07349967956543,8.828499794006350,9.024999618530270,101542000
2010-12-08,8.814499855041500,8.907999992370610,8.760000228881840,8.874500274658200,74538000
2010-12-09,8.742500305175780,8.905500411987310,8.6899995803833,8.888500213623050,91110000
2010-12-10,8.781000137329100,8.797499656677250,8.668000221252440,8.744000434875490,71310000
2010-12-13,8.712499618530270,8.897000312805180,8.68649959564209,8.816499710083010,84050000
2010-12-14,8.696999549865720,8.788000106811520,8.654500007629400,8.71399974822998,73706000
2010-12-15,8.778499603271480,8.949999809265140,8.679499626159670,8.685999870300290,116210000
